Rule: {'pages'} -> {'www'}, confidence: 0.5714
Rule: {'web'} -> {'archive', 'https'}, confidence: 0.6622
Rule: {'https'} -> {'archive', 'web'}, confidence: 0.6682
Rule: {'archive', 'web'} -> {'https'}, confidence: 1.0000
Rule: {'archive', 'https'} -> {'web'}, confidence: 0.9608
Rule: {'web', 'https'} -> {'archive'}, confidence: 0.7538
Rule: {'date'} -> {'title', 'https'}, confidence: 0.7863
Rule: {'title'} -> {'date', 'https'}, confidence: 0.7731
Rule: {'https'} -> {'date', 'title'}, confidence: 0.8364
Rule: {'date', 'title'} -> {'https'}, confidence: 0.9388
Rule: {'date', 'https'} -> {'title'}, confidence: 0.9340
Rule: {'title', 'https'} -> {'date'}, confidence: 0.9293
Rule: {'date'} -> {'url', 'title'}, confidence: 0.8120
Rule: {'url'} -> {'date', 'title'}, confidence: 0.8444
Rule: {'title'} -> {'date', 'url'}, confidence: 0.7983
Rule: {'date', 'url'} -> {'title'}, confidence: 0.9406
Rule: {'date', 'title'} -> {'url'}, confidence: 0.9694
Rule: {'url', 'title'} -> {'date'}, confidence: 0.9091
Rule: {'one'} -> {'url', 'web'}, confidence: 0.4865
Rule: {'url'} -> {'web', 'one'}, confidence: 0.6400
Rule: {'web'} -> {'url', 'one'}, confidence: 0.6486
Rule: {'url', 'one'} -> {'web'}, confidence: 0.9057
Rule: {'web', 'one'} -> {'url'}, confidence: 0.9600
Rule: {'url', 'web'} -> {'one'}, confidence: 0.6990
Rule: {'references'} -> {'web', 'https'}, confidence: 0.7120
Rule: {'web'} -> {'references', 'https'}, confidence: 0.8018
Rule: {'https'} -> {'references', 'web'}, confidence: 0.8091
Rule: {'references', 'web'} -> {'https'}, confidence: 0.9468
Rule: {'references', 'https'} -> {'web'}, confidence: 0.8900
Rule: {'web', 'https'} -> {'references'}, confidence: 0.9128
Rule: {'url'} -> {'cite', 'thumb'}, confidence: 0.6444
Rule: {'cite'} -> {'url', 'thumb'}, confidence: 0.6872
Rule: {'thumb'} -> {'url', 'cite'}, confidence: 0.5235
Rule: {'url', 'cite'} -> {'thumb'}, confidence: 0.7005
Rule: {'url', 'thumb'} -> {'cite'}, confidence: 0.9477
Rule: {'cite', 'thumb'} -> {'url'}, confidence: 0.9864
Rule: {'jpg'} -> {'url', 'https'}, confidence: 0.6033
Rule: {'url'} -> {'jpg', 'https'}, confidence: 0.6489
Rule: {'https'} -> {'jpg', 'url'}, confidence: 0.6636
Rule: {'jpg', 'url'} -> {'https'}, confidence: 0.9799
Rule: {'jpg', 'https'} -> {'url'}, confidence: 0.9419
Rule: {'url', 'https'} -> {'jpg'}, confidence: 0.7053
Rule: {'http'} -> {'date', 'www'}, confidence: 0.7927
Rule: {'date'} -> {'http', 'www'}, confidence: 0.6538
Rule: {'www'} -> {'date', 'http'}, confidence: 0.6986
Rule: {'date', 'http'} -> {'www'}, confidence: 0.9444
Rule: {'http', 'www'} -> {'date'}, confidence: 0.8844
Rule: {'date', 'www'} -> {'http'}, confidence: 0.8053
Rule: {'pages'} -> {'title', 'cite'}, confidence: 0.5676
Rule: {'title'} -> {'pages', 'cite'}, confidence: 0.6176
Rule: {'cite'} -> {'pages', 'title'}, confidence: 0.6967
Rule: {'pages', 'title'} -> {'cite'}, confidence: 0.9423
Rule: {'pages', 'cite'} -> {'title'}, confidence: 1.0000
Rule: {'title', 'cite'} -> {'pages'}, confidence: 0.6967
Rule: {'cite'} -> {'one', 'https'}, confidence: 0.6872
Rule: {'one'} -> {'cite', 'https'}, confidence: 0.4899
Rule: {'https'} -> {'one', 'cite'}, confidence: 0.6591
Rule: {'one', 'cite'} -> {'https'}, confidence: 0.9295
Rule: {'cite', 'https'} -> {'one'}, confidence: 0.7436
Rule: {'one', 'https'} -> {'cite'}, confidence: 0.9177
Rule: {'jpg'} -> {'title', 'cite'}, confidence: 0.5950
Rule: {'title'} -> {'jpg', 'cite'}, confidence: 0.6050
Rule: {'cite'} -> {'jpg', 'title'}, confidence: 0.6825
Rule: {'jpg', 'title'} -> {'cite'}, confidence: 0.9231
Rule: {'jpg', 'cite'} -> {'title'}, confidence: 1.0000
Rule: {'title', 'cite'} -> {'jpg'}, confidence: 0.6825
Rule: {'url'} -> {'title', 'thumb'}, confidence: 0.6444
Rule: {'title'} -> {'url', 'thumb'}, confidence: 0.6092
Rule: {'thumb'} -> {'url', 'title'}, confidence: 0.5235
Rule: {'url', 'title'} -> {'thumb'}, confidence: 0.6938
Rule: {'url', 'thumb'} -> {'title'}, confidence: 0.9477
Rule: {'title', 'thumb'} -> {'url'}, confidence: 0.9236
Rule: {'date'} -> {'http', 'web'}, confidence: 0.6453
Rule: {'http'} -> {'date', 'web'}, confidence: 0.7824
Rule: {'web'} -> {'date', 'http'}, confidence: 0.6802
Rule: {'date', 'http'} -> {'web'}, confidence: 0.9321
Rule: {'date', 'web'} -> {'http'}, confidence: 0.7947
Rule: {'http', 'web'} -> {'date'}, confidence: 0.9207
Rule: {'references'} -> {'www', 'https'}, confidence: 0.7360
Rule: {'www'} -> {'references', 'https'}, confidence: 0.8402
Rule: {'https'} -> {'references', 'www'}, confidence: 0.8364
Rule: {'references', 'www'} -> {'https'}, confidence: 0.9485
Rule: {'references', 'https'} -> {'www'}, confidence: 0.9200
Rule: {'www', 'https'} -> {'references'}, confidence: 0.9293
Rule: {'references'} -> {'url', 'one'}, confidence: 0.6120
Rule: {'url'} -> {'references', 'one'}, confidence: 0.6800
Rule: {'one'} -> {'references', 'url'}, confidence: 0.5169
Rule: {'references', 'url'} -> {'one'}, confidence: 0.7537
Rule: {'references', 'one'} -> {'url'}, confidence: 0.8315
Rule: {'url', 'one'} -> {'references'}, confidence: 0.9623
Rule: {'jpg'} -> {'thumb', 'people'}, confidence: 0.7025
Rule: {'thumb'} -> {'jpg', 'people'}, confidence: 0.6137
Rule: {'people'} -> {'jpg', 'thumb'}, confidence: 0.5231
Rule: {'jpg', 'thumb'} -> {'people'}, confidence: 0.7589
Rule: {'jpg', 'people'} -> {'thumb'}, confidence: 0.9392
Rule: {'thumb', 'people'} -> {'jpg'}, confidence: 0.8854
Rule: {'references'} -> {'date', 'one'}, confidence: 0.5960
Rule: {'date'} -> {'references', 'one'}, confidence: 0.6368
Rule: {'one'} -> {'references', 'date'}, confidence: 0.5034
Rule: {'references', 'date'} -> {'one'}, confidence: 0.7602
Rule: {'references', 'one'} -> {'date'}, confidence: 0.8098
Rule: {'date', 'one'} -> {'references'}, confidence: 0.9030
Rule: {'jpg'} -> {'like', 'thumb'}, confidence: 0.6033
Rule: {'like'} -> {'jpg', 'thumb'}, confidence: 0.6728
Rule: {'thumb'} -> {'jpg', 'like'}, confidence: 0.5271
Rule: {'jpg', 'like'} -> {'thumb'}, confidence: 0.9481
Rule: {'jpg', 'thumb'} -> {'like'}, confidence: 0.6518
Rule: {'like', 'thumb'} -> {'jpg'}, confidence: 0.8902
Rule: {'http'} -> {'web', 'cite'}, confidence: 0.7720
Rule: {'cite'} -> {'http', 'web'}, confidence: 0.7062
Rule: {'web'} -> {'http', 'cite'}, confidence: 0.6712
Rule: {'http', 'cite'} -> {'web'}, confidence: 0.9430
Rule: {'http', 'web'} -> {'cite'}, confidence: 0.9085
Rule: {'web', 'cite'} -> {'http'}, confidence: 0.7801
Rule: {'http'} -> {'www', 'title'}, confidence: 0.7927
Rule: {'www'} -> {'http', 'title'}, confidence: 0.6986
Rule: {'title'} -> {'http', 'www'}, confidence: 0.6429
Rule: {'http', 'www'} -> {'title'}, confidence: 0.8844
Rule: {'http', 'title'} -> {'www'}, confidence: 0.9329
Rule: {'www', 'title'} -> {'http'}, confidence: 0.7846
Rule: {'references'} -> {'date', 'www'}, confidence: 0.7080
Rule: {'date'} -> {'references', 'www'}, confidence: 0.7564
Rule: {'www'} -> {'references', 'date'}, confidence: 0.8082
Rule: {'references', 'date'} -> {'www'}, confidence: 0.9031
Rule: {'references', 'www'} -> {'date'}, confidence: 0.9124
Rule: {'date', 'www'} -> {'references'}, confidence: 0.9316
Rule: {'http'} -> {'url', 'web'}, confidence: 0.8342
Rule: {'url'} -> {'http', 'web'}, confidence: 0.7156
Rule: {'web'} -> {'http', 'url'}, confidence: 0.7252
Rule: {'http', 'url'} -> {'web'}, confidence: 0.9527
Rule: {'http', 'web'} -> {'url'}, confidence: 0.9817
Rule: {'url', 'web'} -> {'http'}, confidence: 0.7816
Rule: {'http'} -> {'web', 'https'}, confidence: 0.7876
Rule: {'web'} -> {'http', 'https'}, confidence: 0.6847
Rule: {'https'} -> {'http', 'web'}, confidence: 0.6909
Rule: {'http', 'web'} -> {'https'}, confidence: 0.9268
Rule: {'http', 'https'} -> {'web'}, confidence: 0.9560
Rule: {'web', 'https'} -> {'http'}, confidence: 0.7795
Rule: {'references'} -> {'http', 'url'}, confidence: 0.6200
Rule: {'http'} -> {'references', 'url'}, confidence: 0.8031
Rule: {'url'} -> {'references', 'http'}, confidence: 0.6889
Rule: {'references', 'http'} -> {'url'}, confidence: 0.9337
Rule: {'references', 'url'} -> {'http'}, confidence: 0.7635
Rule: {'http', 'url'} -> {'references'}, confidence: 0.9172
Rule: {'http'} -> {'www', 'url'}, confidence: 0.8187
Rule: {'www'} -> {'http', 'url'}, confidence: 0.7215
Rule: {'url'} -> {'http', 'www'}, confidence: 0.7022
Rule: {'http', 'www'} -> {'url'}, confidence: 0.9133
Rule: {'http', 'url'} -> {'www'}, confidence: 0.9349
Rule: {'www', 'url'} -> {'http'}, confidence: 0.7940
Rule: {'http'} -> {'www', 'https'}, confidence: 0.7927
Rule: {'www'} -> {'http', 'https'}, confidence: 0.6986
Rule: {'https'} -> {'http', 'www'}, confidence: 0.6955
Rule: {'http', 'www'} -> {'https'}, confidence: 0.8844
Rule: {'http', 'https'} -> {'www'}, confidence: 0.9623
Rule: {'www', 'https'} -> {'http'}, confidence: 0.7727
Rule: {'references'} -> {'date', 'web'}, confidence: 0.7040
Rule: {'date'} -> {'references', 'web'}, confidence: 0.7521
Rule: {'web'} -> {'references', 'date'}, confidence: 0.7928
Rule: {'references', 'date'} -> {'web'}, confidence: 0.8980
Rule: {'references', 'web'} -> {'date'}, confidence: 0.9362
Rule: {'date', 'web'} -> {'references'}, confidence: 0.9263
Rule: {'cite'} -> {'www', 'web'}, confidence: 0.8436
Rule: {'www'} -> {'web', 'cite'}, confidence: 0.8128
Rule: {'web'} -> {'www', 'cite'}, confidence: 0.8018
Rule: {'www', 'cite'} -> {'web'}, confidence: 0.9468
Rule: {'web', 'cite'} -> {'www'}, confidence: 0.9319
Rule: {'www', 'web'} -> {'cite'}, confidence: 0.9319
Rule: {'title'} -> {'cite', 'people'}, confidence: 0.6513
Rule: {'cite'} -> {'title', 'people'}, confidence: 0.7346
Rule: {'people'} -> {'title', 'cite'}, confidence: 0.4769
Rule: {'title', 'cite'} -> {'people'}, confidence: 0.7346
Rule: {'title', 'people'} -> {'cite'}, confidence: 0.9281
Rule: {'cite', 'people'} -> {'title'}, confidence: 1.0000
Rule: {'references'} -> {'title', 'one'}, confidence: 0.6280
Rule: {'title'} -> {'references', 'one'}, confidence: 0.6597
Rule: {'one'} -> {'references', 'title'}, confidence: 0.5304
Rule: {'references', 'title'} -> {'one'}, confidence: 0.7659
