Anime_id,Name,Genres,Ranked,Popularity,Score-10,Score-9,Score-8,Score-7,Score-6,Score-5,Score-4,Score-3,Score-2,,,
49,Aa! Megami-sama!,"Comedy, Magic, Romance, Seinen, Supernatural",2226,2360,2021,3077,5826,7079,3737,1795,433,172,59,,,
50,Aa! Megami-sama! (TV),"Comedy, Supernatural, Magic, Romance, Seinen",2116,1083,5425,9097,17037,20033,10160,5221,1678,591,291,,,
51,Tenshi Kinryouku,"Action, Drama, Romance, Shoujo, Supernatural",2419,43960,2043,3490,5450,5008,3621,2115,992,689,415,,,
52,Kidou Tenshi Angelic Layer,"Sci-Fi, Comedy, Sports, Drama, Shounen",2232,51022,3245,6253,7975,4261,2092,579,211,89,87,,,
53,Ai Yori Aoshi,"Harem, Slice of Life, Comedy, Drama, Romance",1465,94793,5402,10587,13835,8066,4414,1627,609,287,206,,,
54,Appleseed (Movie),"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",1901,65139,4369,8991,11644,6182,3050,1249,451,213,113,,,
55,Arc the Lad,"Action, Adventure, Fantasy, Horror, Sci-Fi",4259,14187,271,762,1605,1252,814,297,108,50,37,,,
56,Avenger,"Adventure, Fantasy, Sci-Fi, Shounen",4073,15779,259,699,1335,1371,1135,698,343,222,133,,,
57,Beck,"Comedy, Drama, Music, Shounen, Slice of Life",570,255668,31103,30926,17566,6598,3000,1173,446,225,235,,,
58,Blue Gender,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",3455,1886,1451,2733,5800,7810,4354,2327,1012,381,229,,,
59,Chobits,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",332,402646,32733,55560,58689,29800,14855,5772,2124,1159,816,,,
60,Chrno Crusade,"Action, Demons, Historical, Romance, Shounen, Supernatural",1120,742,11469,16051,25109,23075,11012,5331,1919,652,280,,,
61,D.N.Angel,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",891,167615,11105,19858,25101,15032,8167,3203,1092,595,378,,,
62,D.C.: Da Capo,"Harem, Drama, Magic, Romance",1852,67491,2446,5172,7807,5472,3340,1493,645,376,242,,,
63,DearS,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",1146,128788,5632,11499,19352,14791,8839,4070,1863,1029,730,,,
64,Rozen Maiden,"Action, Comedy, Drama, Magic, Seinen",1782,846,7868,12729,23021,23961,11535,5531,2028,737,387,,,
65,Rozen Maiden: TrÃ¤umend,"Action, Comedy, Drama, Magic, Seinen",1146,1479,5500,9205,15835,14172,5733,2345,760,255,95,,,
66,Azumanga Daioh,"Slice of Life, Comedy, School",555,554,18422,27283,35693,25478,10326,5162,1797,707,406,,,
67,Basilisk: Kouga Ninpou Chou,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",940,156661,11140,19570,17421,7816,3800,1554,643,316,244,,,
68,Black Cat (TV),"Sci-Fi, Adventure, Comedy, Super Power, Shounen",1965,622,8654,15253,29392,34019,16081,7534,2521,863,395,,,
69,Cluster Edge,"Action, Fantasy, Military, Sci-Fi",6646,5061,113,162,372,652,627,412,261,108,62,,,
71,Full Metal Panic!,"Action, Military, Sci-Fi, Comedy, Mecha",322,411230,36500,64969,56993,21492,9171,3035,991,448,329,,,
72,Full Metal Panic? Fumoffu,"Action, Comedy, School",452,571,24023,37507,45884,30305,11085,4417,1332,442,194,,,
73,Full Metal Panic! The Second Raid,"Action, Military, Mecha",579,639,14139,30146,45246,29917,9377,3127,816,235,115,,,
74,Gakuen Alice,"Comedy, School, Shoujo, Super Power",1640,81446,7151,11074,11158,5331,2357,618,214,115,104,,,
75,Soukyuu no Fafner: Dead Aggressor,"Action, Drama, Mecha, Military, Sci-Fi",2348,2523,926,1667,3344,3838,1827,955,424,184,94,,,
76,Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama, Magic, Super Power",1550,88890,5032,9945,10737,4999,2363,736,276,140,112,,,
77,Mahou Shoujo Lyrical Nanoha A's,"Action, Comedy, Drama, Magic, Super Power",2075,56981,6809,9368,6267,2220,864,250,83,53,71,,,
79,Shuffle!,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",3231,600,8852,14660,26443,32343,18951,10530,5019,2184,1323,,,
80,Mobile Suit Gundam,"Action, Military, Sci-Fi, Space, Mecha",1427,97216,7488,12922,11417,4169,1598,505,179,59,104,,,
81,Mobile Suit Gundam: The 08th MS Team,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",511,1948,4241,8768,11589,6745,2121,819,262,87,38,,,
82,Mobile Suit Gundam 0080: War in the Pocket,"Military, Sci-Fi, Space, Drama, Mecha",2444,43308,5210,7398,5147,1817,748,236,82,36,47,,,
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,"Military, Sci-Fi, Drama, Romance, Mecha",4660,11460,461,1054,1788,1273,630,193,73,30,22,,,
84,Mobile Suit Gundam 0083: Stardust Memory,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",2361,2791,1167,2602,5380,5460,2544,1163,497,180,58,,,
85,Mobile Suit Zeta Gundam,"Military, Sci-Fi, Space, Drama, Romance, Mecha",2159,53822,5901,7986,5578,2118,896,392,152,65,97,,,
86,Mobile Suit Gundam ZZ,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",5111,2941,622,1062,2740,4440,2977,1601,930,372,182,,,
87,Mobile Suit Gundam: Char's Counterattack,"Military, Sci-Fi, Space, Drama, Mecha",1084,2773,2400,3571,5995,4692,1865,824,376,147,69,,,
88,Mobile Suit Gundam F91,"Drama, Mecha, Military, Sci-Fi, Space",5049,3387,530,892,2239,3834,2824,1462,649,221,93,,,
89,Mobile Suit Victory Gundam,"Drama, Mecha, Military, Sci-Fi, Space",3588,20794,735,1589,2272,1406,796,487,240,90,89,,,
90,Mobile Suit Gundam Wing,"Action, Military, Sci-Fi, Space, Drama, Mecha",984,1118,9965,13704,21396,18315,7559,3460,1507,518,210,,,
91,Mobile Suit Gundam Wing: Endless Waltz,"Action, Drama, Mecha, Military, Sci-Fi, Space",2512,41030,4480,6953,5766,2210,921,307,127,54,50,,,
92,After War Gundam X,"Sci-Fi, Adventure, Space, Drama, Mecha",2228,3043,788,1633,3412,3998,1801,813,304,100,43,,,
93,Mobile Suit Gundam SEED,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",850,1057,11353,15863,22505,17695,7560,3710,1701,762,379,,,
94,Mobile Suit Gundam SEED Destiny,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",2687,1530,5979,8245,12662,12913,6928,3887,2752,1300,865,,,
95,Turn A Gundam,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",2714,35670,2212,3129,2892,1403,706,299,127,87,66,,,
96,Mobile Fighter G Gundam,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",2109,55463,4873,8426,8118,3463,1607,696,279,129,104,,,
97,Last Exile,"Action, Sci-Fi, Adventure",795,995,7078,12558,20122,14844,5886,2579,825,286,140,,,
98,Mai-HiME,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",1698,1381,4076,7287,12622,12897,6091,3053,1129,391,211,,,
99,Mai-Otome,"Comedy, Drama, Fantasy, Magic",2308,2370,1673,3271,5798,6647,3441,1676,706,242,128,,,
100,Shin Shirayuki-hime Densetsu PrÃ©tear,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",2785,2162,2198,3135,5368,7030,4152,2306,783,270,127,,,
101,Air,"Slice of Life, Supernatural, Drama, Romance",2230,563,15057,20060,31042,33295,19368,10463,4988,2039,1105,,,
102,Aishiteruze Babyââ,"Comedy, Drama, Romance, Shoujo",1529,89533,7282,12321,12618,6389,3227,1069,426,187,180,,,
103,Akazukin Chacha,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",1941,4551,407,578,1068,1283,664,379,76,28,18,,,
104,Ayashi no Ceres,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",2641,2182,2450,3244,5415,6299,3891,2210,923,322,216,,,
105,Boys Be...,"Slice of Life, Comedy, Romance, Shounen",3665,20032,487,1201,2242,1965,1301,521,206,135,95,,,
106,Hana yori Dango,"Drama, Romance, School, Shoujo",2293,48623,3590,4926,4575,2356,1150,531,184,131,125,,,
107,Ou Dorobou Jing,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",2625,2817,1207,1611,2900,3598,2020,1075,433,186,101,,,
108,Ou Dorobou Jing in Seventh Heaven,"Adventure, Fantasy, Psychological, Comedy, Shounen",2367,4619,465,673,1208,1470,746,344,141,42,20,,,
109,Bakuretsu Tenshi,"Adventure, Comedy, Mecha, Sci-Fi",4381,1965,1383,2510,5383,8232,5547,3386,1514,575,283,,,
110,Chuuka Ichiban!,"Action, Comedy, Drama, Shounen",4086,15608,1051,1978,1930,768,313,85,29,12,26,,,
111,Corrector Yui,"Sci-Fi, Adventure, Comedy, Magic",4318,4519,288,424,929,1531,1205,635,217,90,32,,,
112,Chou Henshin Cosprayers,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",5542,7392,65,159,332,474,547,390,306,258,206,,,
113,Uchuu no Stellvia,"Action, Mecha, Romance, Sci-Fi, Space",3577,20924,1185,2345,2383,1088,624,190,77,32,38,,,
114,Sakigake!! Cromartie Koukou,"Comedy, School, Shounen",1279,112001,9462,13308,9330,3951,1749,777,340,190,181,,,
115,El Hazard: The Alternative World,"Adventure, Comedy, Fantasy",4315,4961,213,339,820,1383,944,460,158,57,25,,,
116,El Hazard: The Wanderers,"Adventure, Comedy, Romance, Fantasy",4198,14603,526,1268,2070,1145,604,194,75,28,27,,,
117,El Hazard: The Magnificent World,"Adventure, Comedy, Romance, Fantasy",4129,15406,812,1707,2079,1016,451,116,31,17,21,,,
118,El Hazard 2: The Magnificent World,"Adventure, Comedy, Fantasy",5421,7745,312,708,1243,772,386,135,41,14,9,,,
119,Final Approach,"Comedy, Drama, Romance, Slice of Life",5567,2887,706,1106,2476,4634,3714,2099,946,430,219,,,
120,Fruits Basket,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",314,420919,40622,59206,56487,25501,12518,4273,1538,810,684,,,
121,Fullmetal Alchemist,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",337,52,124399,176993,211302,133850,44438,16255,5872,1769,970,,,
122,Full Moon wo Sagashite,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",585,1519,7554,8073,10115,8601,4017,2128,662,301,147,,,
123,Fushigi Yuugi,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",1434,96861,7328,10308,10558,5267,2796,1106,434,249,184,,,
124,Fushigi Yuugi: Eikouden,"Adventure, Fantasy, Romance, Drama, Shoujo",4101,15576,938,1382,1942,1311,813,459,229,137,86,,,
125,Futakoi,"Comedy, Romance, School",5946,2900,554,951,2189,3951,3320,2136,955,400,199,,,
126,Futakoi Alternative,"Comedy, Drama, Romance",3071,28297,1097,2174,3058,2019,1125,534,209,112,72,,,
127,Gate Keepers,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",3767,3717,368,734,1738,2740,1575,850,289,121,54,,,
128,Gate Keepers 21,"Action, Drama, Mecha, Sci-Fi, Shounen",4489,5026,148,364,769,1295,910,484,166,51,34,,,
129,Gensoumaden Saiyuuki,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",1315,2359,2047,2974,4914,4998,2227,1164,477,160,95,,,
130,Saiyuuki Reload,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",1858,3071,991,1565,3008,3394,1533,687,239,91,41,,,
131,Saiyuuki Reload Gunlock,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",1840,3724,716,1020,1877,2162,944,439,157,62,20,,,
132,GetBackers,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",1339,105139,7697,13542,13161,5666,2726,877,320,136,108,,,
133,Green Green,"Comedy, Ecchi, Romance, School, Slice of Life",7303,1333,2977,4121,8463,13923,12367,8440,4931,2663,2082,,,
134,Gunslinger Girl,"Action, Psychological, Military, Drama, Sci-Fi",920,161010,9781,18687,18770,9310,4497,1770,641,294,273,,,
135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",1287,111164,12124,15895,10584,4099,1818,520,171,84,121,,,
136,Hunter x Hunter,"Action, Adventure, Super Power, Fantasy, Shounen",143,319,47419,54430,58285,30731,9392,3638,1134,429,258,,,
137,Hunter x Hunter: Original Video Animation,"Action, Adventure, Super Power, Shounen",205,1375,11508,14218,16660,8671,2419,805,184,76,39,,,
138,Hunter x Hunter: Greed Island,"Action, Adventure, Super Power, Fantasy, Shounen",299,1244,12763,16102,20072,11433,3505,1179,386,160,131,,,
139,Hunter x Hunter: Greed Island Final,"Action, Adventure, Super Power, Fantasy, Shounen",230,1288,12905,16044,18455,9667,2997,1048,351,155,111,,,
141,Jinki:Extend,"Mecha, Sci-Fi",7618,4923,95,146,451,957,909,710,314,129,76,,,
142,Kamikaze Kaitou Jeanne,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",1746,2363,2675,3492,5692,6523,3509,1692,538,167,101,,,
143,Kannazuki no Miko,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",4169,2000,2385,2784,4804,6447,4552,2848,1593,750,414,,,
144,Kanon,"Drama, Romance, Slice of Life, Supernatural",2105,55784,2785,5100,6498,3833,2084,886,450,251,235,,,
145,Kareshi Kanojo no Jijou,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",875,170539,11119,18489,16634,7499,3331,1230,428,262,209,,,
146,Kono Minikuku mo Utsukushii Sekai,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",4625,2145,1514,2347,4842,7311,5021,3079,1446,607,343,,,
147,Kimi ga Nozomu Eien,"Drama, Romance, Slice of Life",2604,1187,6057,9127,14332,14635,8360,4503,2468,1128,771,,,
148,Kita e.: Diamond Dust Drops,"Drama, Romance, Slice of Life",5411,7823,151,400,688,480,310,124,75,17,20,,,
149,Loveless,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",4203,1215,5825,7084,10721,14257,10659,6853,3832,1732,1173,,,
150,Blood+,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",431,317767,23972,36825,34360,16234,8377,3281,1140,595,452,,,
151,Re: Cutey Honey,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",3430,22697,903,2314,2742,1446,651,223,98,38,42,,,
152,Solty Rei,"Action, Sci-Fi, Super Power",2447,3233,730,1303,2914,3287,1692,853,286,111,46,,,
153,Juuni Kokuki,"Action, Adventure, Fantasy, Magic, Supernatural",464,1266,6014,8974,10809,6879,2926,1462,616,277,146,,,
154,Shaman King,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",853,477,22092,27013,45643,41073,16854,6947,2045,797,342,,,
155,X/1999,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural",5420,2904,1096,1596,2816,3780,3072,1868,1193,567,349,,,
156,X,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",1804,1818,3338,4772,7876,8060,4254,2047,893,317,203,,,
157,Mahou Sensei Negima!,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",3708,1208,3438,5581,11739,16816,10244,5568,2566,981,524,,,
158,Maria-sama ga Miteru,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",2178,2170,1570,2405,4446,4901,2611,1342,521,234,105,,,
159,Boukyaku no Senritsu,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",3975,16632,391,731,1364,1202,838,464,236,135,90,,,
160,"Ima, Soko ni Iru Boku","Adventure, Drama, Fantasy, Military, Sci-Fi",1309,108100,6505,9669,7286,3490,1636,804,376,170,220,,,
161,Peace Maker Kurogane,"Action, Comedy, Historical, Samurai, Shounen",2251,50151,2755,5455,6245,3005,1468,560,183,85,66,,,
162,Pita Ten,"Comedy, Fantasy, Kids, Romance, School, Shounen",3863,3626,601,939,1793,2671,1814,1058,409,165,71,,,
163,Power Stone,"Adventure, Comedy, Fantasy, Historical, Shounen",5874,6378,182,393,863,763,483,190,65,31,30,,,
164,Mononoke Hime,"Action, Adventure, Fantasy",91,876813,167754,131050,57874,17052,5570,1660,545,283,702,,,
165,RahXephon,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",1820,1395,3247,5815,10129,10104,4981,2400,1150,424,228,,,
166,Samurai 7,"Historical, Mecha, Samurai, Sci-Fi",1295,110124,8054,15364,16074,6890,3029,1018,387,167,126,,,
167,Scrapped Princess,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",1861,1637,1831,4724,10148,10497,4387,2085,625,193,92,,,
168,s.CRY.ed,"Action, Sci-Fi, Adventure, Super Power, Drama",1787,72311,4865,8857,9983,4771,2331,880,307,163,92,,,
169,Shingetsutan Tsukihime,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",3970,1086,3795,6704,13229,16972,9908,5351,2881,1453,933,,,
170,Slam Dunk,"Comedy, Drama, School, Shounen, Sports",92,728,24041,26797,25578,12645,4036,1603,493,215,125,,,
171,Strange Dawn,"Adventure, Drama, Fantasy",7014,4112,58,177,333,293,180,71,28,20,18,,,
173,Tactics,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",2668,2670,929,1528,3007,3854,2149,1192,418,149,56,,,
174,Tenjou Tenge,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",3911,934,4525,7930,16479,23495,14073,7564,3713,1556,769,,,
175,Tokyo Underground,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",5230,3254,380,675,1717,3071,2310,1460,547,216,113,,,
176,Triangle Heart: Sweet Songs Forever,"Adventure, Romance",7381,5991,85,110,276,582,574,423,196,86,37,,,
177,Tsubasa Chronicle,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",759,195978,13441,22827,22477,10508,5296,2054,818,338,272,,,
178,Ultra Maniac,"Comedy, Magic, Romance, School, Shoujo",3103,27718,1372,2664,3686,2002,1091,320,133,73,44,,,
179,Ultra Maniac OVA,"Comedy, Magic, Romance, School",6509,4941,163,335,650,522,278,76,27,22,14,,,
180,Vandread,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",1771,73554,4688,9516,12448,6101,2829,1032,427,236,132,,,
181,Vandread: The Second Stage,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",1850,2326,2142,4084,7875,8786,3742,1571,500,204,73,,,
182,Tenkuu no Escaflowne,"Adventure, Psychological, Romance, Fantasy, Mecha",1037,1157,6311,10107,16442,14572,6125,2595,891,320,144,,,
183,Whistle!,"School, Shounen, Sports",1939,4545,452,746,1505,1811,765,332,110,42,27,,,
184,Xenosaga The Animation,"Action, Mecha, Sci-Fi, Shounen, Space",6577,3838,282,426,1041,1995,1781,1191,583,263,116,,,
185,Initial D First Stage,"Action, Cars, Drama, Seinen, Sports",231,638,22426,29409,37279,20081,5685,2073,633,209,149,,,
186,Initial D Second Stage,"Action, Cars, Drama, Seinen, Sports",391,1095,12292,18903,29970,17122,4454,1244,293,96,33,,,
187,Initial D Third Stage,"Action, Cars, Sports, Drama, Romance, Seinen",689,1270,9194,12565,23574,18429,5581,1659,417,144,44,,,
188,Gosenzo San'e,"Comedy, Hentai, Mystery, Supernatural",8469,2308,42,89,168,159,132,59,19,20,33,,,
189,Love Hina,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",3037,645,8738,14308,27588,33959,19199,10492,4394,1873,1072,,,
190,Love Hina Again,"Comedy, Drama, Ecchi, Romance, Shounen",2581,1715,3712,6222,11477,13780,7002,3362,1285,582,274,,,
191,Love Hina Christmas Special: Silent Eve,"Slice of Life, Comedy, Romance",2174,2177,2798,4607,8293,9697,4732,2240,677,256,142,,,
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,"Adventure, Comedy, Romance",2307,48221,3599,6893,9013,4466,2241,737,274,186,100,,,
193,Maburaho,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School",4444,1583,2426,3800,8155,12682,8392,5076,2221,926,535,,,
194,Macross Zero,"Adventure, Mecha, Military, Sci-Fi, Shounen",1438,2809,1399,2836,5185,4475,1973,817,298,103,35,,,
195,OnegaiâTeacher,"Sci-Fi, Comedy, Drama, Romance, School",1008,147889,10008,18771,22906,13008,6991,2839,1109,655,427,,,
196,OnegaiâTwins,"Comedy, Drama, Harem, School, Sci-Fi",1699,77733,4369,8902,13224,8488,4553,1963,798,439,267,,,
197,Rizelmine,"Sci-Fi, Comedy, Romance, Ecchi, School",5608,3495,466,652,1425,2515,2046,1348,622,292,201,,,
198,Speed Grapher,"Action, Mystery, Super Power",1458,95801,5094,9838,9937,4854,2515,1108,392,233,174,,,
199,Sen to Chihiro no Kamikakushi,"Adventure, Supernatural, Drama",23,41,324768,254426,182709,76025,22207,7695,2393,856,489,,,
200,Tenshi na Konamaiki,"Comedy, Magic, Romance, Shounen",3426,22832,1269,2277,2239,1183,554,227,99,42,54,,,
201,Video Girl Ai,"Comedy, Drama, Ecchi, Romance",2725,3409,800,1272,2551,3132,1814,834,257,97,53,,,
202,Wolf's Rain,"Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",528,271685,21254,31099,25311,11350,5440,2206,736,424,296,,,
203,Words Worth,"Adventure, Hentai, Demons, Magic, Fantasy",5518,7447,291,606,871,577,331,149,69,51,40,,,
204,Yumeria,"Action, Comedy, Ecchi, Harem, Super Power",7783,3283,471,563,1424,2725,2645,1905,1088,550,344,,,
205,Samurai Champloo,"Action, Adventure, Comedy, Historical, Samurai, Shounen",105,86,104898,146580,132652,62330,17685,6462,1984,768,348,,,
206,Lodoss-tou Senki: Eiyuu Kishi Den,"Action, Adventure, Drama, Magic, Romance, Fantasy",3255,25344,1066,2199,2886,1568,814,340,111,59,34,,,
207,Lodoss-tou Senki,"Action, Adventure, Fantasy, Magic, Shounen, Supernatural",2236,51172,2735,5130,5432,2769,1328,461,156,57,44,,,
208,R.O.D: Read or Die,"Action, Sci-Fi, Adventure, Mystery, Historical, Magic",2075,56984,5574,9304,7576,2951,1270,423,131,60,49,,,
209,R.O.D: The TV,"Action, Sci-Fi, Adventure, Comedy, Super Power, Drama",1410,1971,2087,4094,7830,7279,3044,1434,497,151,87,,,
210,Ranma Â½,"Slice of Life, Comedy, Martial Arts, Fantasy, Shounen",891,767,11247,16178,27857,25475,10377,4226,1117,393,199,,,
211,Pure Mail,Hentai,Unknown,7731,64,71,165,268,310,175,86,43,25,,,
212,Project A-Ko,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power",4200,4227,361,561,1282,1835,1203,636,269,112,43,,,
213,Pia Carrot e Youkoso!!,"Comedy, Romance, Hentai",Unknown,7767,50,48,114,240,281,196,89,54,18,,,
214,Pia Carrot e Youkoso!! 2,"Comedy, Romance, Hentai",Unknown,8715,42,40,97,169,197,119,62,23,11,,,
